vehicle_operator_id,Name,PAN,Aadhar,City,Address,Rating
1,vehicle_operator_1,ABCDE2726F,5522 8250 6493,Bulandshahr,Address_1,3.49
2,vehicle_operator_2,ABCDE2339F,9499 9617 7497,Aurangabad,Address_2,4.0
3,vehicle_operator_3,ABCDE2284F,2906 7403 3791,Bilaspur,Address_3,4.6
4,vehicle_operator_4,ABCDE2630F,7550 3355 9686,Bhilwara,Address_4,1.32
5,vehicle_operator_5,ABCDE6903F,7525 5223 9454,Adilabad,Address_5,4.17
6,vehicle_operator_6,ABCDE7816F,9520 2075 8557,Bhavnagar,Address_6,4.84
7,vehicle_operator_7,ABCDE2437F,9303 8895 8495,Bakshpur,Address_7,1.85
8,vehicle_operator_8,ABCDE1944F,1711 8250 9147,Ambala,Address_8,1.46
9,vehicle_operator_9,ABCDE6684F,1196 3529 7839,Asansol,Address_9,3.87
10,vehicle_operator_10,ABCDE4360F,3349 6443 4438,Ahmedabad,Address_10,1.82
