id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
1,Driver_1,1,ABCDE2183F,9845 9697 4198,DL-6993-123697,[305],True,
2,Driver_2,1,ABCDE9182F,1269 5876 3406,DL-7327-835989,"[641, 378]",False,
3,Driver_3,1,ABCDE7336F,6977 8426 9159,DL-6198-785797,"[332, 160, 493]",False,
4,Driver_4,1,ABCDE8930F,8492 5847 4063,DL-5409-398495,"[690, 161, 187]",False,
5,Driver_5,1,ABCDE8043F,1912 3651 9529,DL-7464-357508,"[954, 667, 290]",False,
6,Driver_6,1,ABCDE7320F,8486 7251 4901,DL-6514-325405,"[934, 88]",True,
7,Driver_7,1,ABCDE8005F,9247 3768 6456,DL-2151-260926,"[4, 626]",True,
8,Driver_8,1,ABCDE6986F,9667 5108 9288,DL-8637-302486,"[798, 268, 262]",True,
9,Driver_9,1,ABCDE7048F,5201 2011 4099,DL-2144-366277,"[666, 312, 711]",True,
10,Driver_10,1,ABCDE1271F,1597 3104 9985,DL-2890-926807,"[678, 750, 302]",False,
11,Driver_11,1,ABCDE3407F,2165 5386 1678,DL-3522-563831,"[567, 560, 333]",False,
12,Driver_12,1,ABCDE3173F,4111 8367 1229,DL-2236-567293,[69],True,
13,Driver_13,1,ABCDE4468F,3162 5613 6034,DL-4947-523642,"[610, 701, 352]",False,
14,Driver_14,1,ABCDE2097F,7983 2876 7661,DL-8251-557468,[169],False,
15,Driver_15,1,ABCDE6709F,5778 2407 1448,DL-7947-665754,"[814, 375]",False,
16,Driver_16,1,ABCDE7185F,8654 6021 4898,DL-7473-442802,[606],False,
17,Driver_17,1,ABCDE4185F,9756 2120 2252,DL-8889-445294,"[760, 545]",True,
18,Driver_18,1,ABCDE4618F,3567 5868 6431,DL-5567-449601,"[481, 118]",True,
19,Driver_19,1,ABCDE2849F,1222 7521 5286,DL-6916-233586,"[214, 275]",True,
20,Driver_20,1,ABCDE3525F,8488 7280 1521,DL-2155-571341,"[56, 403]",False,
21,Driver_21,1,ABCDE8612F,1697 3231 4210,DL-8499-819432,"[665, 382]",True,
22,Driver_22,1,ABCDE8501F,3111 4450 3905,DL-8779-481286,"[134, 963]",False,
23,Driver_23,1,ABCDE6056F,3370 7731 8593,DL-8989-377528,"[604, 756]",False,
24,Driver_24,1,ABCDE4152F,4112 5907 1296,DL-7138-321761,"[838, 445, 148]",False,
25,Driver_25,1,ABCDE8430F,6938 4170 5829,DL-4148-834302,[157],False,
26,Driver_26,1,ABCDE8979F,6369 5130 7843,DL-9450-583850,[220],False,
27,Driver_27,1,ABCDE2574F,4096 3727 6579,DL-7376-622581,"[931, 23, 294]",True,
28,Driver_28,1,ABCDE7209F,3814 1248 6680,DL-1857-729187,"[998, 920]",False,
29,Driver_29,1,ABCDE4145F,7680 1949 8803,DL-2101-960849,"[107, 381, 560]",False,
30,Driver_30,1,ABCDE3913F,9505 8499 8086,DL-2922-124023,"[24, 734]",True,
31,Driver_31,1,ABCDE9293F,1469 5570 3332,DL-3152-101942,[908],False,
32,Driver_32,1,ABCDE5640F,6772 5982 6398,DL-4942-437698,"[986, 113]",False,
33,Driver_33,1,ABCDE3879F,8815 3376 6082,DL-4579-227123,"[513, 849, 553]",False,
34,Driver_34,1,ABCDE5175F,8249 9365 9647,DL-4968-122546,[521],True,
35,Driver_35,1,ABCDE8868F,8296 6247 7012,DL-3423-434469,"[290, 656]",True,
36,Driver_36,1,ABCDE1375F,7426 9190 2768,DL-7877-200296,"[593, 781, 736]",False,
37,Driver_37,1,ABCDE2070F,1868 9266 5867,DL-7815-882980,"[877, 417, 354]",True,
38,Driver_38,1,ABCDE3503F,1423 8278 1522,DL-6952-215066,"[485, 433]",True,
39,Driver_39,1,ABCDE3116F,6082 2625 3585,DL-9941-359494,[871],False,
40,Driver_40,1,ABCDE6446F,5221 1272 8802,DL-3445-228409,[481],True,
41,Driver_41,1,ABCDE7228F,5873 6242 6429,DL-9561-722333,"[837, 827]",True,
