Id,Name,City,PAN,Aadhar,DL_number,DL_for_vehicle_types
1,Driver_1,Chennai,PAN00001,Aadhar000000000001,DL00000001,"5,2"
2,Driver_2,Lucknow,PAN00002,Aadhar000000000002,DL00000002,"2,3"
3,Driver_3,Mumbai,PAN00003,Aadhar000000000003,DL00000003,"1,5"
4,Driver_4,Bangalore,PAN00004,Aadhar000000000004,DL00000004,"4,1,2"
5,Driver_5,Ahmedabad,PAN00005,Aadhar000000000005,DL00000005,1
6,Driver_6,Pune,PAN00006,Aadhar000000000006,DL00000006,"5,2,4"
7,Driver_7,Hyderabad,PAN00007,Aadhar000000000007,DL00000007,"4,2,3"
8,Driver_8,Lucknow,PAN00008,Aadhar000000000008,DL00000008,"2,1,4"
9,Driver_9,Kolkata,PAN00009,Aadhar000000000009,DL00000009,"3,1,4"
10,Driver_10,Hyderabad,PAN00010,Aadhar000000000010,DL00000010,"4,1,5"
11,Driver_11,Ahmedabad,PAN00011,Aadhar000000000011,DL00000011,"5,1"
12,Driver_12,Ahmedabad,PAN00012,Aadhar000000000012,DL00000012,3
13,Driver_13,Delhi,PAN00013,Aadhar000000000013,DL00000013,4
14,Driver_14,Pune,PAN00014,Aadhar000000000014,DL00000014,"5,1"
15,Driver_15,Jaipur,PAN00015,Aadhar000000000015,DL00000015,2
