,id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
0,1,Driver_1,20,ABCD6361E,2143 8537 2637,DL-3385-9360-1300,"[2, 3, 4]",True,2.7
1,4,Driver_4,16,ABCD7240E,1129 4121 2934,DL-7511-3817-7443,"[2, 1, 3]",True,4.9
2,5,Driver_5,6,ABCD4791E,8740 8599 8900,DL-4322-7837-4277,"[3, 4, 2]",True,4.4
3,8,Driver_8,21,ABCD4469E,5608 4954 4736,DL-5786-9106-6064,"[5, 2, 4]",True,1.4
4,10,Driver_10,7,ABCD1553E,1493 9483 3568,DL-5506-5835-2578,"[1, 3, 2]",True,1.8
5,13,Driver_13,7,ABCD3375E,7234 4364 9031,DL-8854-9754-1519,"[2, 1, 5]",True,4.3
6,14,Driver_14,11,ABCD3750E,8448 7349 5425,DL-2806-7462-6319,"[1, 3, 5]",True,3.1
7,17,Driver_17,25,ABCD3469E,2330 5709 2402,DL-7089-3020-6178,"[4, 1, 3]",True,4.4
8,18,Driver_18,8,ABCD3254E,8750 6770 3640,DL-2928-4911-5178,"[3, 4, 2]",True,2.8
9,20,Driver_20,4,ABCD2663E,7768 4202 5850,DL-4412-6684-6214,"[4, 3, 2]",True,4.9
10,23,Driver_23,13,ABCD1733E,4235 3346 1197,DL-8094-7102-9313,"[3, 5, 1]",True,1.9
11,24,Driver_24,6,ABCD5271E,5559 6328 1594,DL-6887-4950-7667,"[1, 3, 2]",True,4.9
12,26,Driver_26,4,ABCD8431E,2268 3303 2489,DL-6763-4980-4652,"[5, 3, 1]",True,4.7
13,27,Driver_27,11,ABCD2151E,8987 2245 2813,DL-1694-9829-3570,"[5, 1, 4]",True,1.4
14,29,Driver_29,18,ABCD4236E,1122 6706 5180,DL-5339-9074-4579,"[3, 1, 5]",True,1.9
15,30,Driver_30,4,ABCD8824E,7913 5990 6802,DL-5561-4971-7027,"[3, 4, 5]",True,2.7
16,32,Driver_32,16,ABCD4599E,3651 9533 4067,DL-9123-4847-4404,"[4, 2, 3]",True,2.6
17,35,Driver_35,7,ABCD9250E,4103 1622 4029,DL-3288-5008-2129,"[1, 3, 2]",True,3.4
18,37,Driver_37,2,ABCD2579E,2040 8239 6511,DL-4579-7544-2729,"[3, 2, 4]",True,5.0
19,39,Driver_39,1,ABCD6027E,1539 7914 5391,DL-3390-2579-7066,"[4, 2, 3]",True,4.9
20,41,Driver_41,6,ABCD2725E,4207 6033 5687,DL-9725-4556-6233,"[4, 1, 5]",True,4.8
21,44,Driver_44,2,ABCD7662E,3985 2633 5837,DL-3221-1733-7003,"[4, 3, 5]",True,4.3
22,45,Driver_45,3,ABCD7030E,8961 2124 1984,DL-3483-9632-1488,"[1, 4, 3]",True,4.1
23,50,Driver_50,6,ABCD6355E,9472 6703 5787,DL-3166-7367-3067,"[1, 3, 2]",True,3.8
