,id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
0,1,Driver_1,20,ABCD6361E,2143 8537 2637,DL-3385-9360-1300,"[2, 3, 4]",True,2.7
1,2,Driver_2,21,ABCD6582E,6335 6951 2201,DL-8319-5112-1479,"[5, 2, 3]",False,4.0
2,3,Driver_3,23,ABCD5448E,4386 9527 1226,DL-6008-9649-3251,"[2, 4, 3]",False,1.4
3,4,Driver_4,16,ABCD7240E,1129 4121 2934,DL-7511-3817-7443,"[2, 1, 3]",True,4.9
4,5,Driver_5,6,ABCD4791E,8740 8599 8900,DL-4322-7837-4277,"[3, 4, 2]",True,4.4
5,6,Driver_6,19,ABCD8766E,9301 8816 1561,DL-8989-9681-4087,"[3, 5, 4]",False,4.1
6,7,Driver_7,23,ABCD9293E,3764 7392 7456,DL-2074-2479-3501,"[3, 2, 4]",False,4.3
7,8,Driver_8,21,ABCD4469E,5608 4954 4736,DL-5786-9106-6064,"[5, 2, 4]",True,1.4
8,9,Driver_9,13,ABCD4215E,5094 4023 9849,DL-8987-2004-4825,"[3, 5, 2]",False,2.3
9,10,Driver_10,7,ABCD1553E,1493 9483 3568,DL-5506-5835-2578,"[1, 3, 2]",True,1.8
10,11,Driver_11,17,ABCD9445E,9659 5032 5353,DL-9625-4646-5705,"[4, 3, 2]",False,1.8
11,12,Driver_12,8,ABCD2065E,2173 8889 5563,DL-5710-6702-3604,"[1, 3, 5]",False,1.9
12,13,Driver_13,7,ABCD3375E,7234 4364 9031,DL-8854-9754-1519,"[2, 1, 5]",True,4.3
13,14,Driver_14,11,ABCD3750E,8448 7349 5425,DL-2806-7462-6319,"[1, 3, 5]",True,3.1
14,15,Driver_15,1,ABCD8335E,4097 1692 4806,DL-7617-9155-7071,"[3, 2, 1]",False,1.4
15,16,Driver_16,3,ABCD1591E,3345 9478 7925,DL-3372-3157-6183,"[1, 5, 2]",False,2.9
16,17,Driver_17,25,ABCD3469E,2330 5709 2402,DL-7089-3020-6178,"[4, 1, 3]",True,4.4
17,18,Driver_18,8,ABCD3254E,8750 6770 3640,DL-2928-4911-5178,"[3, 4, 2]",True,2.8
18,19,Driver_19,11,ABCD1168E,8351 4935 2908,DL-3439-9367-2479,"[3, 1, 2]",False,1.7
19,20,Driver_20,4,ABCD2663E,7768 4202 5850,DL-4412-6684-6214,"[4, 3, 2]",True,4.9
20,21,Driver_21,3,ABCD8537E,5744 2845 4736,DL-4250-2928-7849,"[1, 5, 3]",False,4.0
21,22,Driver_22,23,ABCD9880E,7111 6972 6802,DL-5414-8602-1292,"[4, 1, 2]",False,1.6
22,23,Driver_23,13,ABCD1733E,4235 3346 1197,DL-8094-7102-9313,"[3, 5, 1]",True,1.9
23,24,Driver_24,6,ABCD5271E,5559 6328 1594,DL-6887-4950-7667,"[1, 3, 2]",True,4.9
24,25,Driver_25,11,ABCD2263E,3463 2828 2697,DL-7466-3099-2007,"[2, 3, 4]",False,3.7
25,26,Driver_26,4,ABCD8431E,2268 3303 2489,DL-6763-4980-4652,"[5, 3, 1]",True,4.7
26,27,Driver_27,11,ABCD2151E,8987 2245 2813,DL-1694-9829-3570,"[5, 1, 4]",True,1.4
27,28,Driver_28,19,ABCD3473E,6464 5319 1667,DL-5615-2529-3830,"[2, 4, 3]",False,4.3
28,29,Driver_29,18,ABCD4236E,1122 6706 5180,DL-5339-9074-4579,"[3, 1, 5]",True,1.9
29,30,Driver_30,4,ABCD8824E,7913 5990 6802,DL-5561-4971-7027,"[3, 4, 5]",True,2.7
30,31,Driver_31,3,ABCD7118E,9997 6751 3915,DL-6586-9236-8880,"[1, 4, 2]",False,2.0
31,32,Driver_32,16,ABCD4599E,3651 9533 4067,DL-9123-4847-4404,"[4, 2, 3]",True,2.6
32,33,Driver_33,15,ABCD4703E,6922 9888 2426,DL-6742-6531-3184,"[2, 3, 1]",False,2.3
33,34,Driver_34,14,ABCD5944E,2517 9065 8581,DL-7940-6561-8799,"[3, 4, 1]",False,4.6
34,35,Driver_35,7,ABCD9250E,4103 1622 4029,DL-3288-5008-2129,"[1, 3, 2]",True,3.4
35,36,Driver_36,15,ABCD6068E,8485 5490 9799,DL-4184-8550-2125,"[1, 2, 3]",False,3.8
36,37,Driver_37,2,ABCD2579E,2040 8239 6511,DL-4579-7544-2729,"[3, 2, 4]",True,5.0
37,38,Driver_38,1,ABCD7785E,8587 1946 2406,DL-6691-5396-1571,"[1, 3, 4]",False,4.2
38,39,Driver_39,1,ABCD6027E,1539 7914 5391,DL-3390-2579-7066,"[4, 2, 3]",True,4.9
39,40,Driver_40,13,ABCD6877E,7468 3366 2944,DL-6504-9874-6150,"[1, 5, 4]",False,4.8
40,41,Driver_41,6,ABCD2725E,4207 6033 5687,DL-9725-4556-6233,"[4, 1, 5]",True,4.8
41,42,Driver_42,5,ABCD5530E,9389 8625 9844,DL-3328-2368-1171,"[2, 1, 5]",False,3.0
42,43,Driver_43,20,ABCD8370E,3520 6485 5992,DL-2527-2549-6856,"[1, 3, 5]",False,2.2
43,44,Driver_44,2,ABCD7662E,3985 2633 5837,DL-3221-1733-7003,"[4, 3, 5]",True,4.3
44,45,Driver_45,3,ABCD7030E,8961 2124 1984,DL-3483-9632-1488,"[1, 4, 3]",True,4.1
45,46,Driver_46,6,ABCD3834E,4041 4461 9861,DL-5808-9084-5197,"[5, 2, 1]",False,1.3
46,47,Driver_47,17,ABCD4900E,4846 1055 3595,DL-5914-5686-4491,"[5, 2, 3]",False,2.8
47,48,Driver_48,15,ABCD3477E,9863 4444 2613,DL-4423-3854-9950,"[5, 4, 2]",False,1.7
48,49,Driver_49,15,ABCD9972E,1926 8190 7180,DL-7409-3626-2249,"[1, 3, 4]",False,2.3
49,50,Driver_50,6,ABCD6355E,9472 6703 5787,DL-3166-7367-3067,"[1, 3, 2]",True,3.8
