id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
4,Driver_4,Abohar,ABCDE5354F,9189 6119 3237,DL-6613-714034,"[24, 9, 43, 49]",True,
5,Driver_5,Abohar,ABCDE4799F,6073 2435 3307,DL-6494-998841,"[22, 1, 3, 41, 5]",True,
6,Driver_6,Abohar,ABCDE4355F,4546 4694 7270,DL-6159-298311,[6],True,
9,Driver_9,Abohar,ABCDE2946F,6485 1035 1515,DL-7003-289467,"[34, 22, 35, 42]",True,
10,Driver_10,Abohar,ABCDE5819F,4388 2314 6419,DL-5875-204086,"[49, 28, 6, 4, 1]",True,
11,Driver_11,Abohar,ABCDE6070F,6303 4480 7105,DL-7630-473193,[4],True,
20,Driver_20,Abohar,ABCDE8859F,6059 4630 8573,DL-5893-636831,"[39, 8, 2, 1, 18]",True,
22,Driver_22,Adilabad,ABCDE2415F,8065 3273 4542,DL-4435-734561,"[49, 1]",True,
23,Driver_23,Adilabad,ABCDE3605F,7787 3327 8064,DL-1067-531501,"[29, 20, 6]",True,
29,Driver_29,Adilabad,ABCDE7177F,1832 8002 3211,DL-4952-240053,"[50, 36, 33, 43]",True,
32,Driver_32,Adilabad,ABCDE6092F,9874 9992 3230,DL-4486-107100,"[46, 20]",True,
34,Driver_34,Adilabad,ABCDE4050F,9657 7583 7291,DL-6025-909151,"[26, 18, 8, 9]",True,
35,Driver_35,Adilabad,ABCDE8491F,3711 6169 8887,DL-4862-663349,"[37, 15, 12, 3, 28]",True,
38,Driver_38,Agartala,ABCDE4539F,1266 7499 5590,DL-1732-363504,"[12, 32, 4]",True,
41,Driver_41,Agartala,ABCDE2093F,8964 4540 2836,DL-2320-898030,[36],True,
42,Driver_42,Agartala,ABCDE6363F,7277 1055 9876,DL-8057-258603,"[14, 25]",True,
43,Driver_43,Agartala,ABCDE2553F,5038 9308 4774,DL-2335-632150,"[16, 43, 44]",True,
48,Driver_48,Agartala,ABCDE1792F,3123 5521 1428,DL-7338-671186,"[3, 6, 47]",True,
50,Driver_50,Agartala,ABCDE9113F,8312 3991 2393,DL-5243-764851,"[13, 21, 27, 48, 7]",True,
51,Driver_51,Agra,ABCDE4851F,6278 2398 8568,DL-4416-949982,[9],True,
52,Driver_52,Agra,ABCDE4681F,3699 8584 6580,DL-7246-921783,"[9, 50]",True,
54,Driver_54,Agra,ABCDE9918F,5622 7832 4600,DL-7311-625578,"[35, 49, 14, 45]",True,
55,Driver_55,Agra,ABCDE4876F,6112 9366 2346,DL-7480-978506,"[26, 41, 50, 5, 44]",True,
57,Driver_57,Agra,ABCDE1897F,1455 8744 5998,DL-6140-571365,"[19, 7]",True,
58,Driver_58,Agra,ABCDE9571F,9400 8954 6527,DL-4859-184924,"[20, 28, 32]",True,
60,Driver_60,Agra,ABCDE3931F,3709 1489 9341,DL-8059-937794,"[44, 49, 27, 39, 12]",True,
63,Driver_63,Agra,ABCDE7427F,6727 2914 3726,DL-9410-664537,"[17, 39, 4]",True,
65,Driver_65,Agra,ABCDE6040F,9170 7172 9350,DL-2812-559331,"[26, 15, 35, 27, 23]",True,
68,Driver_68,Agra,ABCDE2199F,7613 7866 3809,DL-1939-785216,"[29, 34, 28]",True,
69,Driver_69,Agra,ABCDE6857F,1574 2552 5417,DL-9070-470019,"[9, 6, 45, 49]",True,
76,Driver_76,Agra,ABCDE9829F,2165 4080 1879,DL-8282-754077,[18],True,
77,Driver_77,Agra,ABCDE6881F,8468 5040 5215,DL-5920-928118,"[30, 32]",True,
