id,name,city,pan,aadhar,dl_number,dl_for_vehicle_types,Available,rating
1,Driver_1,1,ABCDE5984F,4621 8894 4000,DL-2288-720904,[2],False,
2,Driver_2,1,ABCDE2670F,1825 8494 4754,DL-6393-106114,"[3, 5]",True,
3,Driver_3,1,ABCDE1627F,7344 2166 6405,DL-7681-214494,"[4, 2, 1]",True,
4,Driver_4,1,ABCDE2516F,2658 3785 8484,DL-4785-471366,"[4, 5, 1, 2]",False,
5,Driver_5,1,ABCDE1589F,1639 2768 3020,DL-7376-905427,"[4, 2, 1, 3, 5]",False,
6,Driver_6,1,ABCDE6599F,7382 8237 1301,DL-5671-517404,[1],True,
7,Driver_7,1,ABCDE8343F,5599 2834 9006,DL-3415-925942,"[3, 5]",False,
8,Driver_8,1,ABCDE7545F,5694 6907 4535,DL-7643-431915,"[3, 5, 1]",False,
9,Driver_9,1,ABCDE9012F,4134 4180 8542,DL-5587-542726,"[3, 1, 4, 5]",False,
10,Driver_10,1,ABCDE5055F,1885 5271 8197,DL-2872-780678,"[5, 1, 2, 3, 4]",True,
11,Driver_11,1,ABCDE7611F,8021 1429 3825,DL-9101-254696,[5],True,
12,Driver_12,1,ABCDE9430F,8439 4136 1464,DL-2916-558558,"[3, 1]",False,
13,Driver_13,1,ABCDE4076F,9565 3867 7407,DL-4254-443363,"[2, 5, 4]",False,
14,Driver_14,1,ABCDE2248F,9980 9091 9974,DL-3381-587283,"[2, 5, 3, 4]",True,
15,Driver_15,1,ABCDE1567F,6647 2276 3121,DL-1520-575200,"[4, 5, 3, 2, 1]",True,
16,Driver_16,1,ABCDE5498F,4573 3675 5112,DL-3178-183907,[2],True,
17,Driver_17,1,ABCDE2016F,4554 4419 4014,DL-3904-858667,"[4, 1]",False,
18,Driver_18,1,ABCDE4888F,8279 3501 7124,DL-7113-866248,"[4, 1, 3]",False,
19,Driver_19,1,ABCDE5400F,3708 8815 7635,DL-3624-659515,"[5, 1, 2, 3]",True,
