customer_id,location_latitude,location_longitude,address,city_id,preferred_delivery_window
1,23.27161422451278,69.74086571145595,Address_1,40,"('4 AM', '9 PM')"
2,17.932662572559142,77.58183010947394,Address_2,42,"('5 AM', '4 PM')"
3,19.180813734622067,74.81413457114205,Address_3,5,"('7 AM', '5 PM')"
4,28.390513745862467,79.43522158589148,Address_4,25,"('5 AM', '5 PM')"
5,27.603731919365462,81.70356000924077,Address_5,31,"('1 AM', '3 PM')"
6,20.760921322325185,77.68158854357505,Address_6,16,"('11 AM', '4 PM')"
7,27.647090490551243,76.63676351421144,Address_7,14,"('12 AM', '6 PM')"
8,21.61117381075748,72.10408197782485,Address_8,33,"('9 AM', '4 PM')"
9,27.487670289436082,76.57002131242788,Address_9,14,"('8 AM', '3 PM')"
10,19.550658417067492,78.39297248532957,Address_10,2,"('1 AM', '7 PM')"
11,30.124241332406886,74.15652948178834,Address_11,1,"('1 AM', '1 PM')"
12,28.355356826395365,79.45060232796173,Address_12,25,"('12 AM', '6 PM')"
13,16.774100460581717,75.88636386627752,Address_13,43,"('1 AM', '5 PM')"
14,27.990580184870524,73.15693954759688,Address_14,44,"('8 AM', '2 PM')"
15,27.161471286235905,77.46585799676052,Address_15,30,"('12 AM', '5 PM')"
16,19.95814418884719,79.29520495189344,Address_16,50,"('3 AM', '1 PM')"
17,20.090054376040616,79.32281754679157,Address_17,50,"('1 AM', '1 PM')"
18,30.047129468289018,74.337804930675,Address_18,1,"('2 AM', '9 PM')"
19,16.03633098199531,74.40586534555902,Address_19,26,"('4 AM', '6 PM')"
20,19.389814506661605,78.31233654993768,Address_20,2,"('3 AM', '10 PM')"
21,15.049838305134436,76.82800661453034,Address_21,27,"('2 AM', '12 PM')"
22,15.093060546013787,76.83744542792684,Address_22,27,"('1 AM', '8 PM')"
23,22.840509454607762,88.39230712212294,Address_23,32,"('4 AM', '11 PM')"
24,19.34412401265366,73.14089266662475,Address_24,36,"('3 AM', '9 PM')"
25,34.000147194465974,74.34727574937376,Address_25,23,"('5 AM', '4 PM')"
26,27.18413354920357,77.9934511312594,Address_26,4,"('12 AM', '3 PM')"
27,24.699012194339407,84.43901067009351,Address_27,20,"('7 AM', '12 PM')"
28,11.216321292740476,75.79120359623114,Address_28,49,"('9 AM', '11 PM')"
29,27.453263305361475,76.67020763999064,Address_29,14,"('4 AM', '3 PM')"
30,27.983550216855786,79.13795127648652,Address_30,47,"('5 AM', '8 PM')"
31,23.81824550476631,91.301133511454,Address_31,3,"('2 AM', '6 PM')"
32,19.4150112939931,78.31494776141759,Address_32,2,"('9 AM', '2 PM')"
33,25.486666621229173,81.8545309103336,Address_33,13,"('10 AM', '8 PM')"
34,27.191346827272163,78.00148863461376,Address_34,4,"('9 AM', '4 PM')"
35,23.32389078569483,77.46227824066732,Address_35,38,"('9 AM', '1 PM')"
36,25.90258629655643,80.76387085882348,Address_36,21,"('1 AM', '8 PM')"
37,23.845436933054017,92.65928146257875,Address_37,7,"('3 AM', '2 PM')"
38,26.55073948174338,74.69079463413702,Address_38,8,"('7 AM', '7 PM')"
39,20.826462684764977,77.70162711425928,Address_39,16,"('6 AM', '2 PM')"
40,23.274046279879755,69.60527682815673,Address_40,40,"('5 AM', '1 PM')"
41,11.226955971406834,75.76494205999977,Address_41,49,"('11 AM', '1 PM')"
42,18.968470719938207,74.74100995085335,Address_42,5,"('2 AM', '12 PM')"
43,23.269395747918605,77.52682553024822,Address_43,38,"('9 AM', '1 PM')"
44,31.591083296203774,75.07027719189267,Address_44,17,"('4 AM', '12 PM')"
45,22.15856833895528,82.12512171202084,Address_45,45,"('1 AM', '12 PM')"
46,23.68188386322893,86.98275000602621,Address_46,18,"('5 AM', '6 PM')"
47,19.59904773985129,78.31922761440592,Address_47,2,"('12 AM', '1 PM')"
48,23.079650691646396,72.62112285111009,Address_48,6,"('8 AM', '8 PM')"
49,20.92396103172772,77.94506587042436,Address_49,16,"('11 AM', '6 PM')"
50,21.235012000168364,81.66890898585874,Address_50,34,"('2 AM', '11 PM')"
