vehicle_operator_id,Name,PAN,Aadhar,City,Address,Rating
1,vehicle_operator_1,ABCDE1492F,2497 6668 3701,Agra,Address_1,1.5
2,vehicle_operator_2,ABCDE2593F,3736 6451 5472,Bareilly,Address_2,4.25
3,vehicle_operator_3,ABCDE9493F,2318 8241 1727,Allahabad,Address_3,1.05
4,vehicle_operator_4,ABCDE4361F,9826 1851 6991,Bareilly,Address_4,2.71
5,vehicle_operator_5,ABCDE4904F,3138 5572 9439,Bhatpara,Address_5,2.34
6,vehicle_operator_6,ABCDE4367F,4234 6336 5332,Agartala,Address_6,3.2
7,vehicle_operator_7,ABCDE7766F,1141 9249 1298,Aligarh,Address_7,3.92
8,vehicle_operator_8,ABCDE6481F,4738 5240 8232,Bikaner,Address_8,2.34
9,vehicle_operator_9,ABCDE4988F,1654 4854 1380,Bhiwani,Address_9,4.64
10,vehicle_operator_10,ABCDE7992F,6724 7419 3587,Bhopal ,Address_10,2.95
