vehicle_owner_Id,Name,PAN,Aadhar,City,Address,Rating
1,vehicle_owner_1,ABCDE3494F,2425 3310 1959,Aurangabad,Address_1,1.04
2,vehicle_owner_2,ABCDE2022F,6214 7270 5027,Bhopal ,Address_2,2.02
3,vehicle_owner_3,ABCDE4597F,9518 3642 8055,Belgaum,Address_3,3.57
4,vehicle_owner_4,ABCDE9800F,1853 3938 2263,Akola,Address_4,1.0
5,vehicle_owner_5,ABCDE8049F,5812 1390 5625,Bhiwandi,Address_5,2.55
6,vehicle_owner_6,ABCDE2060F,9127 6965 7473,Bhopal ,Address_6,3.53
7,vehicle_owner_7,ABCDE1140F,7993 2680 2714,Aligarh,Address_7,4.14
8,vehicle_owner_8,ABCDE6153F,8776 3094 1619,Adilabad,Address_8,3.27
9,vehicle_owner_9,ABCDE4171F,8246 9657 6045,Bellary,Address_9,4.54
10,vehicle_owner_10,ABCDE2714F,7141 7480 9470,Agra,Address_10,4.78
